lfare,dist,passen,mktshr,y97,y99
3.6109178,466,190,1,1,0
3.9120231,188,779,.62199998,1,0
3.9512436,444,949,.48770002,1,0
3.9889841,180,547,.99290001,1,0
3.9889841,254,266,.60519999,1,0
3.9889841,451,1321,.38609999,1,0
4.0073333,188,713,.8118,0,1
4.0073333,328,1557,.72239995,1,0
4.0073333,365,624,.50770003,1,0
4.0253515,224,1959,.34909999,1,0
4.0253515,238,1026,.59509999,1,0
4.0253515,279,728,.50520003,1,0
4.0253515,304,1988,.76059997,1,0
4.0253515,345,1433,.61229998,1,0
4.0253515,406,168,.95789999,1,0
4.0430512,109,353,.45520002,1,0
4.0430512,178,847,.79940003,1,0
4.0430512,188,725,.69400001,0,0
4.0430512,197,1255,.85620004,1,0
4.0430512,224,2078,.66800004,0,1
4.0430512,256,2549,.71980006,1,0
4.0430512,369,1159,.68239999,1,0
4.0604429,180,543,.99000001,0,1
4.0604429,192,440,.99680001,1,0
4.0604429,224,2079,.69370002,0,0
4.0604429,287,374,.68739998,1,0
4.0604429,291,356,.5596,1,0
4.0604429,318,557,.98400003,1,0
4.0604429,325,1440,.79320002,1,0
4.0604429,328,1864,.64819998,0,0
4.0604429,367,454,.79930001,1,0
4.0604429,370,3355,.58590001,1,0
4.0604429,506,167,.97780001,1,0
4.0775375,254,240,.60769999,0,1
4.0775375,444,807,.4307,0,0
4.0943446,180,531,.9896,0,0
4.0943446,238,998,.56279999,0,1
4.0943446,279,777,.57709998,0,1
4.0943446,287,382,.61509997,0,0
4.0943446,287,427,.64539999,0,1
4.0943446,296,399,.61909997,1,0
4.0943446,325,1638,.8046,0,1
4.0943446,328,1998,.69510001,0,1
4.0943446,365,602,.45750001,0,0
4.0943446,369,1357,.62810004,0,1
4.0943446,370,3582,.56400001,0,1
4.1108737,256,2966,.72029996,0,1
4.1108737,304,2000,.74400002,0,0
4.1108737,304,2120,.7428,0,1
4.1108737,314,1355,.39310002,0,1
4.1108737,345,1469,.65960002,0,0
4.1108737,345,1581,.7536,0,1
4.1108737,347,621,.8549,0,1
4.1108737,358,1474,.99220002,1,0
4.1108737,369,1251,.66900003,0,0
4.1108737,389,1560,.9817,1,0
4.1108737,480,1663,.96419996,1,0
4.1271343,178,807,.80839998,0,0
4.1271343,197,1323,.92519999,0,0
4.1271343,226,388,.97500002,1,0
4.1271343,254,265,.63440001,0,0
4.1271343,274,163,.93849999,1,0
4.1271343,318,675,.9878,0,0
4.1271343,325,1493,.81389999,0,0
4.1271343,365,560,.77149999,0,1
4.1271343,370,3450,.61830002,0,0
4.1271343,373,2059,.50220001,1,0
4.1431346,236,5469,.4605,0,1
4.1431346,256,2632,.77789998,0,0
4.1431346,279,745,.52469999,0,0
4.1431346,296,341,.56380004,0,1
4.1431346,355,468,.99000001,1,0
4.1431346,444,706,.50580001,0,1
4.1431346,451,1195,.60720003,0,0
4.1588831,178,777,.8258,0,1
4.1588831,192,391,.99809998,0,0
4.1588831,197,1326,.92320001,0,1
4.1588831,236,4411,.50060004,1,0
4.1588831,236,4557,.46540001,0,0
4.1588831,258,1760,.79089999,1,0
4.1588831,276,562,.90029997,1,0
4.1588831,276,612,.91260004,0,1
4.1588831,291,404,.50470001,0,1
4.1588831,318,707,.99250001,0,1
4.1588831,328,1449,.82769996,0,1
4.1588831,333,934,.98769999,1,0
4.1588831,335,141,.97460002,1,0
4.1588831,337,3905,.69599998,1,0
4.1588831,361,1523,.9896,1,0
4.1588831,422,260,.5025,1,0
4.1588831,451,1261,.57819998,0,1
4.1588831,506,84,.97940004,0,0
4.1588831,564,1204,.45340002,1,0
4.1743875,238,1015,.50049996,0,0
4.1743875,280,200,.94569999,1,0
4.1743875,308,2481,.65330005,1,0
4.1743875,321,387,.96940005,0,1
4.1743875,328,1362,.83349997,0,0
4.1743875,367,449,.82879996,0,0
4.1743875,367,555,.89269996,0,1
4.1896548,197,1034,.97920001,1,0
