final_price,mileage
11.41,100
7.38,189
8.08,145.681
31.97,31.5
9.968999999999999,122.2
14.949,52.8
10.78,94
8.429,95
8.23,124
14.87,110
11,149
16.97,12.152
14.085,98.5
13.61,59.92
14.33,107.138
14.979,90.142
11.26,145.681
8.33,129
13.85,95.895
13.38,54.2
10.22,75.64
13.52,93.033
6.43,169.9
7.278,186.8
13.25,46
12.71,67.86
14.55,47.906
20.36,10.345
13.76,22.424
11.44,140.4
10.48,79.646
10.15,157.869
7.28,105.172
15.859,34.79
16.89,45.799
12.4,116.99
15.655,76.736
11.81,142.314
11.82,91.032
16.07,60
14.509,61.404
10.16,181.817
15.27,18.762
7.72,170
13.39,31.261
7.61,122.7
25.38,26.5
18.575,68.036
6.03,100
6.874,146.7
14.61,31.261
14.81,63.749
12.26,100.8
14.96,25.348
14.59,25.348
15.56,115.1
11.05,119.837
5.915,80
9.720000000000001,146.8
10.43,119.958
21.49,28.785
13.42,138
12.19,94.589
15.48,37.4
13.615,28.348
7.21,73.5
7.03,136.6
8.499000000000001,80.44
12.809,102.504
12.52,112.1
8.960000000000001,147.3
11.75,51.639
13.07,47.251
12.628,90.8
13.45,102.4
13.28,63
8.369999999999999,87
8.640000000000001,170
21.98,22
11.98,91.7
16.64,63.5
13.88,31.177
14,47.906
12.32,46.317
10.45,59.387
10.25,120.095
7.185,109.126
9.359,79.2
10.48,119.488
11.49,79.68899999999999
17.34,25.192
15.36,18.762
5.579,185.323
20.969,16.492
8.15,167.8
10.184,90.99500000000001
13.09,57.766
12.44,28.198
6.37,150.286
13.329,42.6
13.93,71.52500000000001
10.08,88.735
12.41,52.4
12.65,58.976
9.880000000000001,81
12.9,96.49800000000001
8.32,188.882
10.93,118.391
9.630000000000001,102
23.18,31
16.855,62.067
13.62,75.365
11.13,107.538
10.07,132.9
10.29,68.90000000000001
12.689,171.553
11.44,70.06
7.35,173.575
12.28,177.81
8.74,92.09999999999999
10.29,78.5
15.23,106.862
14.08,42.5
8.65,129
13.03,71.52500000000001
18.19,25.192
12.34,69.04900000000001
14.78,18.541
6.95,149.998
9.210000000000001,151.109
13.38,85.2
15.95,31.41
15.499,52.104
17.4,24.067
15.19,51.745
16.34,27.602
9.07,139.419
12.33,72.65000000000001
11.11,86.181
10.59,95.858
10.549,174
11.31,65.09999999999999
8.44,190
29.16,25.8
9.050000000000001,103
18.97,22.75
10.13,69.05
20,19.3
17.15,55.5
8.398999999999999,159
13.245,36.756
12.44,106.743
6.34,159.9
16.52,36.408
13.54,71.52500000000001
19.81,27.3
4.28,195
15.04,69.90000000000001
14.21,65.455
10.47,90.58499999999999
12.48,51.639
10.73,70.06
17.39,25.192
7.02,146.22
16,101.4
11.52,140.4
14.2,46.2
15.998,67.94799999999999
12.04,66.432
22.49,19.4
14.56,78.252
10.58,83
12.95,66.084
10.659,75
7.71,140.883
14.02,85.99
10.93,104
8.218999999999999,131
8.289999999999999,127.005
12.4,65.90000000000001
10.8,90.8
11.19,97.09999999999999
19.1,19.8
7.42,162
13.54,42.798
10.7,62.24
17.028,28.1
9.44,143
15.59,77.2
10.648,130
14.179,88.09999999999999
10.019,84.96599999999999
11.49,116.75
11.27,91.40000000000001
13.38,53.213
14.199,21.628
12.76,140.4
16.27,21.909
10.47,127.6
9.890000000000001,136
15.21,81.8
9.880000000000001,83.5
11.63,83
19.71,24.502
9.210000000000001,124.657
10.16,108.064
10.05,91.40000000000001
8.550000000000001,162
10.03,116.222
8.519,148
8.69,85.649
13.608,69.2
12.51,120.994
11.11,149.8
14.06,74.622
10.52,73.40000000000001
10.139,120
13.23,57.776
16.14,20.2
11.68,64.45999999999999
13.12,121.228
13.13,60.4
13.275,49.98
25.61,10.38
13.41,69.17400000000001
13.55,37.692
11.05,90.8
11.56,125
12.425,60.259
3.189,113
14.38,44.585
13.315,60
16.32,84.215
13.458,141.463
6.659,188
7.48,176.02
10.61,78.902
13.32,79.265
13.935,23.01
9.045,108.765
8.77,175.15
18.049,12.889
6.68,150
17.33,45
13.34,86.357
12.96,51.639
9.74,92
10.93,124.657
7.165,197
10.9,96.58
17.62,22.408
11.68,84.169
18.66,28.3
10.59,117
10.27,106.896
11.339,124.483
10.85,138.902
15.97,29.625
12.71,82.209
17.2,67.45099999999999
11.66,97.8
13.608,118.642
11.22,85.95
24.5,35.707
12.56,85.59999999999999
13.03,57.6
14.35,46
10.89,70.06
12.21,97.851
7.765,197
17.91,27.5
7.34,176
10.75,113.708
14.815,38.5
11.94,54.629
9.800000000000001,90.90000000000001
9.42,119
10.76,131.612
18.18,15.406
8.648999999999999,111
8.300000000000001,91.768
6.69,171
9.6,110
18.35,43.82
11.28,134.2
13.59,110.273
14.07,57.776
12.82,84.01300000000001
11.85,86.438
12.389,116.595
9.23,125
7.009,150
20.948,12.23
14.5,103.55
18.267,64.34999999999999
6.55,104
12.92,51.639
21.5,14.773
21.44,20.622
9.25,111.81
12.91,102.6
17.46,13.16
9.539999999999999,113.993
13.89,117.668
11.51,88.247
15.168,52.803
12.43,139.85
21.2,25.59
16.4,13.601
15.14,107.3
13.02,53.77
12.74,57
13.6,53.77
13.74,121.535
12.59,57.776
15.35,40.1
17.01,54.5
12.8,45.967
10.04,150
14.7,99.5
15.45,45.45
4.2,198.6
13.21,98.46599999999999
9.27,122.485
21.17,19.875
12.12,31.2
22,21.1
11.41,78
15.44,62
14.68,61.825
6.62,103.1
10.24,89.785
24.28,14.98
21.4,21.343
14.78,91.25
13.81,45.567
13.15,45.567
6.75,134.7
12.1,43.646
7.64,162
12.94,123.19
10.15,106.459
18.95,20.287
14.62,37.9
17.19,69.67100000000001
7.7,145
17.15,15.3
10.14,130.521
8.85,150
5.43,161
12.73,36.791
14.04,13.35
18.43,65.93899999999999
11.2,150
11.97,124.356
10.05,58
11.409,107.6
17.65,34.6
19.08,36.5
6.909,158.807
18.982,25
8.089,95.5
9.94,90.324
13.49,80.67700000000001
12.42,41
12.28,63.055
14.33,51.967
12.35,111.854
27.819,13.9
9.34,118.363
7.79,124.545
11.51,88
8.48,144.5
11.38,90.239
18.06,45.26
10.749,141.163
13.98,81.47799999999999
10.429,127
10.47,70.06
15.31,29.223
11.64,91.59999999999999
13.009,83.7
9.32,106.136
10.31,114.175
12.019,99.063
11.46,101.3
8.449999999999999,89.5
16.34,12.62
16.65,30.7
10.405,100
8.83,148.38
16.62,73.348
6.93,139
7.9,182.098
8.050000000000001,112.918
13.56,87.61
8.890000000000001,119.69
5.75,128
17.28,24.616
9.224,140.1
9.58,124.657
13.915,89.8
9.800000000000001,85.14
9.039999999999999,86.5
21.14,11
15.14,57.5
10.68,104.176
14.86,94
12.99,56
13.519,98.3
15.26,34.8
12.87,44.585
10.6,70.06
9.808999999999999,122.2
6.38,150.9
12.63,75.133
17.05,14.5
21.23,13.5
12.72,45.967
11.85,106.11
13.21,120
15.78,29.223
6.99,112.5
14.08,53.213
11.89,140.4
8.16,96.206
15,29.223
14.38,62
14.96,111.219
9.119999999999999,134.136
15.89,11.7
15.62,80
18.919,37.5
15.4,121
14.21,45.967
